Image_name,labels
P43_1.jpg,1
P37_3.jpg,1
a3.jpg,1
P7_3.jpg,1
P7_2.jpg,1
P37_1.jpg,1
P29_1.jpg,1
a24_2.jpg,1
j7_2.jpg,1
P5_2.jpg,1
j1.jpg,1
a5.jpg,1
a23_1.jpg,1
j6_1.jpg,1
P13_2.jpg,1
j3.jpg,1
P28_3.jpg,1
P17_2.jpg,1
P36_2.jpg,1
P6_1.jpg,1
a25_2.jpg,1
P19_1.jpg,1
P9_3.jpg,1
P5_1.jpg,1
P7_1.jpg,1
P34_1.jpg,1
P33_1.jpg,1
P19_2.jpg,1
a13_1.jpg,1
a19.jpg,1
P4_1.jpg,1
P6_2.jpg,1
P28_1.jpg,1
P8_2.jpg,1
P28_2.jpg,1
a17.jpg,1
P18_1.jpg,1
P38_2.jpg,1
a2.jpg,1
a23_2.jpg,1
P42_1.jpg,1
P36_1.jpg,1
j6_2.jpg,1
j7_1.jpg,1
P13_1.jpg,1
a22_2.jpg,1
P9_2.jpg,1
P35_2.jpg,1
a8_1.jpg,1
P24_2.jpg,1
P33_2.jpg,1
a20.jpg,1
P4_2.jpg,1
a1.jpg,1
P35_3.jpg,1
P38_1.jpg,1
a14_2.jpg,1
j2.jpg,1
a9.jpg,1
P19_3.jpg,1
P21_1.jpg,1
P8_1.jpg,1
P24_1.jpg,1
P18_2.jpg,1
P9_4.jpg,1
a4_1.jpg,1
j8_1.jpg,1
P37_2.jpg,1
P3_3.jpg,1
