Image_name,labels
35.jpg,0
20_2.jpg,0
6_2.jpg,0
25.jpg,0
27_1.jpg,0
41_1.jpg,0
38.jpg,0
32_1.jpg,0
76_1.jpg,0
37_1.jpg,0
12.jpg,0
22_1.jpg,0
15_1.jpg,0
70_1.jpg,0
39.jpg,0
17_2.jpg,0
37.jpg,0
59_1.jpg,0
2_2.jpg,0
20_1.jpg,0
65_1.jpg,0
62_1.jpg,0
29_1.jpg,0
72_1.jpg,0
33_1.jpg,0
23_2.jpg,0
43_1.jpg,0
75_2.jpg,0
9_1.jpg,0
28_1.jpg,0
22_2.jpg,0
21_2.jpg,0
21_1.jpg,0
45_1.jpg,0
75_1.jpg,0
4_5.jpg,0
11_1.jpg,0
81_1.jpg,0
73_1.jpg,0
18.jpg,0
4_3.jpg,0
80_1.jpg,0
28.jpg,0
77_1.jpg,0
67_1.jpg,0
60_1.jpg,0
9.jpg,0
78_1.jpg,0
3_1.jpg,0
27.jpg,0
24_1.jpg,0
30_1.jpg,0
2.jpg,0
7.jpg,0
79_1.jpg,0
31_1.jpg,0
36.jpg,0
20.jpg,0
70_2.jpg,0
63_1.jpg,0
34.jpg,0
6_1.jpg,0
69_1.jpg,0
23.jpg,0
3.jpg,0
5.jpg,0
16_1.jpg,0
19_2.jpg,0
15.jpg,0
35_1.jpg,0
38_1.jpg,0
4_1.jpg,0
13_1.jpg,0
61_1.jpg,0
4_4.jpg,0
47_1.jpg,0
17.jpg,0
1_1.jpg,0
16.jpg,0
69_2.jpg,0
54_1.jpg,0
26_1.jpg,0
40.jpg,0
42_1.jpg,0
19.jpg,0
