Image_name,labels
a21_2.jpg,1
18.jpg,0
P9_4.jpg,1
49_1.jpg,0
P18_1.jpg,1
a25_1.jpg,1
38.jpg,0
a5.jpg,1
P3_2.jpg,1
a10.jpg,1
24_1.jpg,0
8.jpg,0
20.jpg,0
16_1.jpg,0
a15.jpg,1
2_1.jpg,0
P8_1.jpg,1
36_1.jpg,0
P37_3.jpg,1
31_1.jpg,0
P4_1.jpg,1
35.jpg,0
34_1.jpg,0
23_2.jpg,0
2.jpg,0
P3_1.jpg,1
a21_1.jpg,1
P29_1.jpg,1
57_1.jpg,0
30_1.jpg,0
19.jpg,0
13_1.jpg,0
40_1.jpg,0
68_1.jpg,0
1.jpg,0
78_1.jpg,0
48_1.jpg,0
P9_1.jpg,1
P33_1.jpg,1
P7_2.jpg,1
29.jpg,0
P4_2.jpg,1
a22_1.jpg,1
a8_2.jpg,1
P19_1.jpg,1
P7_4.jpg,1
P7_3.jpg,1
70_2.jpg,0
j6_2.jpg,1
j6_1.jpg,1
27.jpg,0
20_1.jpg,0
a22_2.jpg,1
61_1.jpg,0
P24_2.jpg,1
71_2.jpg,0
4_5.jpg,0
P9_2.jpg,1
58_!.jpg,0
P18_2.jpg,1
a17.jpg,1
j3.jpg,1
5_1.jpg,0
a19.jpg,1
15_1.jpg,0
7_1.jpg,0
39.jpg,0
P19_3.jpg,1
44_1.jpg,0
18_1.jpg,0
a3.jpg,1
P36_1.jpg,1
P34_1.jpg,1
1_1.jpg,0
P21_1.jpg,1
P28_3.jpg,1
j7_2.jpg,1
P6_1.jpg,1
63_1.jpg,0
j8_2.jpg,1
33_1.jpg,0
a25_2.jpg,1
59_1.jpg,0
21_2.jpg,0
P35_2.jpg,1
P44_1.jpg,1
P5_2.jpg,1
a6.jpg,1
P24_1.jpg,1
P33_2.jpg,1
P38_1.jpg,1
22.jpg,0
27_1.jpg,0
31.jpg,0
11.jpg,0
a4_2.jpg,1
P28_1.jpg,1
a16.jpg,1
69_2.jpg,0
P17_2.jpg,1
25.jpg,0
a8_1.jpg,1
P17_1.jpg,1
54_1.jpg,0
P36_2.jpg,1
P30_1.jpg,1
P2_1.jpg,1
P15_1.jpg,1
20_2.jpg,0
P36_3.jpg,1
21_1.jpg,0
75_1.jpg,0
64_1.jpg,0
P2_2.jpg,1
60_1.jpg,0
a14_1.jpg,1
P38_2.jpg,1
a14_2.jpg,1
P1_1.jpg,1
79_1.jpg,0
a12.jpg,1
a2.jpg,1
34.jpg,0
a23_1.jpg,1
22_2.jpg,0
8_2.jpg,0
36.jpg,0
43_1.jpg,0
32_1.jpg,0
71_1.jpg,0
7.jpg,0
11_1.jpg,0
13.jpg,0
P42_1.jpg,1
P14_1.jpg,1
12.jpg,0
4.jpg,0
19_1.jpg,0
37.jpg,0
P37_2.jpg,1
P35_3.jpg,1
37_1.jpg,0
15.jpg,0
8_1.jpg,0
14.jpg,0
23_1.jpg,0
a4_1.jpg,1
10.jpg,0
69_1.jpg,0
40.jpg,0
24.jpg,0
70_1.jpg,0
17.jpg,0
a13_2.jpg,1
38_1.jpg,0
3.jpg,0
j2.jpg,1
6_1.jpg,0
a18.jpg,1
51_1.jpg,0
j7_1.jpg,1
75_2.jpg,0
P13_1.jpg,1
4_1.jpg,0
19_2.jpg,0
28.jpg,0
46_1.jpg,0
2_2.jpg,0
21.jpg,0
9.jpg,0
P40_1.jpg,1
16.jpg,0
a23_2.jpg,1
81_1.jpg,0
3_1.jpg,0
41_1.jpg,0
4_2.jpg,0
P6_2.jpg,1
6_2.jpg,0
67_1.jpg,0
P35_1.jpg,1
P9_3.jpg,1
28_1.jpg,0
22_1.jpg,0
73_2.jpg,0
P8_2.jpg,1
a9.jpg,1
P13_2.jpg,1
P43_1.jpg,1
30.jpg,0
9_1.jpg,0
P28_2.jpg,1
82_1.jpg,0
P5_1.jpg,1
33.jpg,0
65_1.jpg,0
72_1.jpg,0
5.jpg,0
P19_2.jpg,1
29_1.jpg,0
4_3.jpg,0
4_4.jpg,0
P3_4.jpg,1
j8_1.jpg,1
77_1.jpg,0
a24_2.jpg,1
a13_1.jpg,1
74_1.jpg,0
73_1.jpg,0
80_1.jpg,0
a20.jpg,1
P37_1.jpg,1
17_2.jpg,0
45_1.jpg,0
a7.jpg,1
P7_1.jpg,1
a24_1.jpg,1
42_1.jpg,0
a1.jpg,1
35_1.jpg,0
76_1.jpg,0
23.jpg,0
P3_3.jpg,1
62_1.jpg,0
26_1.jpg,0
j1.jpg,1
47_1.jpg,0
6.jpg,0
